"WBIC","Year","Lake","age0cpe.mile","id"
"1545600",2007,"BIG ARBOR VITAE LAKE",31.5384615384615,"1545600 2007"
"1545600",2008,"BIG ARBOR VITAE LAKE",10.8974358974359,"1545600 2008"
"1545600",2009,"BIG ARBOR VITAE LAKE",85.125,"1545600 2009"
"1545600",2010,"BIG ARBOR VITAE LAKE",13.5,"1545600 2010"
"1545600",2011,"BIG ARBOR VITAE LAKE",17.3076923076923,"1545600 2011"
"1545600",2013,"BIG ARBOR VITAE LAKE",34.6913580246914,"1545600 2013"
"2453300",2007,"BIG BASS LAKE",0,"2453300 2007"
"2453300",2013,"BIG BASS LAKE",0.416666666666667,"2453300 2013"
"2641000",2008,"BIG BUTTERNUT LAKE",0,"2641000 2008"
"2641000",2010,"BIG BUTTERNUT LAKE",0,"2641000 2010"
"1610700",2006,"BIG FORK LAKE",119.444444444444,"1610700 2006"
"2963800",2008,"BIG LAKE",6.59420289855072,"2963800 2008"
"2079000",2004,"BIG MOON LAKE",0,"2079000 2004"
"1835300",2004,"BIG MUSKELLUNGE LAKE",28.8235294117647,"1835300 2004"
"1629500",2006,"BIG PORTAGE LAKE",27.6470588235294,"1629500 2006"
"1591100",2011,"BIG SAINT GERMAIN LAKE",41.1842105263158,"1591100 2011"
"1602600",2011,"BIG SAND LAKE",0.285714285714286,"1602600 2011"
"1612200",2006,"BIG STONE LAKE",33.8,"1612200 2006"
"972000",2005,"BIRD LAKE",0,"972000 2005"
"2381900",2004,"BLACK DAN LAKE",7.33333333333333,"2381900 2004"
"2381900",2005,"BLACK DAN LAKE",0.666666666666667,"2381900 2005"
"2381900",2006,"BLACK DAN LAKE",0,"2381900 2006"
"2381900",2012,"BLACK DAN LAKE",2.33333333333333,"2381900 2012"
"1630100",2007,"BLACK OAK LAKE",2.62295081967213,"1630100 2007"
"1630100",2008,"BLACK OAK LAKE",1.83098591549296,"1630100 2008"
"1630100",2011,"BLACK OAK LAKE",9.04761904761905,"1630100 2011"
"2402200",2006,"BLAISDELL LAKE",0.0285714285714286,"2402200 2006"
"1538600",2004,"BLUE LAKE",15.2112676056338,"1538600 2004"
"2693700",2008,"BOND LAKE",1.05263157894737,"2693700 2008"
"2742500",2004,"BONY LAKE",120,"2742500 2004"
"2742500",2007,"BONY LAKE",22.2222222222222,"2742500 2007"
"2742500",2010,"BONY LAKE",10.3703703703704,"2742500 2010"
"1580200",2011,"BOOM LAKE",3.33333333333333,"1580200 2011"
"418700",2013,"BOOT LAKE",0,"418700 2013"
"1537800",2004,"BOOTH LAKE",0,"1537800 2004"
"750300",2007,"BROWNS LAKE",0,"750300 2007"
"750300",2009,"BROWNS LAKE",0,"750300 2009"
"750300",2011,"BROWNS LAKE",0,"750300 2011"
"703900",2010,"BRULE RIVER",30.4,"703900 2010"
"2272600",2006,"BUCKSKIN LAKE",16.5,"2272600 2006"
"2272600",2008,"BUCKSKIN LAKE",8.38709677419355,"2272600 2008"
"2272600",2012,"BUCKSKIN LAKE",12.6984126984127,"2272600 2012"
"975000",2004,"BURROWS LAKE",0,"975000 2004"
"2903800",2010,"BUSKEY BAY",0.416666666666667,"2903800 2010"
"692400",2011,"BUTTERNUT LAKE",69.7619047619048,"692400 2011"
