id,WBIC,longitude,latitude,State,division
1609,186900,-89.1,44.55,WI,5
1505,187000,-89.16,44.45,WI,5
5051,187100,-88.77,45.5,WI,3
4095,187200,-88.9,45.37,WI,3
2296,187300,-88.84,45.08,WI,3
2000,187400,-89.06,44.89,WI,3
1530,187500,-89.09,44.48,WI,5
3888,187600,-89.01,45.34,WI,3
2213,187700,-89.05,45.04,WI,3
4091,187800,-88.98,45.37,WI,3
1590,187900,-89.3,44.54,WI,5
4224,188000,-88.94,45.39,WI,3
1262,188100,-89.15,44.27,WI,5
4168,188200,-88.92,45.38,WI,3
4914,188300,-88.82,45.48,WI,3
1707,188500,-89.16,44.64,WI,5
1390,188600,-89.11,44.35,WI,5
3050,188700,-88.74,45.25,WI,3
1349,188800,-89.31,44.33,WI,5
1497,188900,-89.2,44.44,WI,5
2517,189000,-88.93,45.16,WI,3
1548,189100,-89.1,44.5,WI,5
4705,189200,-88.86,45.45,WI,3
4394,189300,-88.73,45.41,WI,3
2076,189400,-88.98,44.93,WI,3
2049,189500,-88.75,44.91,WI,3
1162,189600,-89.16,44.17,WI,5
1418,189700,-89.28,44.38,WI,5
1524,189800,-89.33,44.47,WI,5
3962,189900,-88.93,45.35,WI,3
1512,190000,-89.34,44.46,WI,5
1455,190100,-89.34,44.42,WI,5
1130,190200,-89.15,44.14,WI,5
4383,190300,-88.97,45.41,WI,3
1394,190400,-88.82,44.35,WI,5
4459,190500,-88.77,45.42,WI,3
6591,190600,-88.98,45.7,WI,3
5052,190700,-88.77,45.5,WI,3
1991,190800,-88.53,44.88,WI,3
4975,190900,-88.79,45.49,WI,3
1203,191100,-89.12,44.21,WI,5
1618,191200,-89.12,44.56,WI,5
1809,191300,-89.31,44.72,WI,2
4155,191400,-89.09,45.38,WI,3
1228,191500,-89.15,44.23,WI,5
2079,191600,-88.8,44.93,WI,3
2314,191700,-88.86,45.09,WI,3
4856,191900,-88.76,45.47,WI,3
2442,192000,-88.86,45.14,WI,3
4703,192100,-89,45.45,WI,3
5053,192200,-88.77,45.5,WI,3
1277,192300,-89.1,44.28,WI,5
1263,192400,-89.1,44.27,WI,5
2236,192500,-89.07,45.05,WI,3
1067,192600,-89.09,44.08,WI,5
5050,192700,-88.79,45.5,WI,3
1592,192800,-89.26,44.54,WI,5
1973,192900,-88.76,44.87,WI,3
1762,193000,-89.27,44.69,WI,2
1486,193100,-88.9,44.43,WI,5
1153,193200,-89.13,44.16,WI,5
1410,193300,-89.17,44.37,WI,5
1426,193400,-89.02,44.39,WI,5
1523,193500,-89.35,44.47,WI,5
1685,193600,-89.26,44.62,WI,5
1679,193700,-89.32,44.61,WI,5
2039,193800,-89.29,44.91,WI,2
2387,193900,-88.85,45.12,WI,3
2514,194000,-88.98,45.16,WI,3
4032,194100,-88.96,45.36,WI,3
3961,194200,-88.95,45.35,WI,3
4620,194300,-89.16,45.44,WI,3
1251,194400,-89.14,44.26,WI,5
2383,194500,-88.9,45.12,WI,3
1542,194600,-89.11,44.49,WI,5
2670,194700,-88.89,45.19,WI,3
4851,194800,-88.93,45.47,WI,3
1648,194900,-89.4,44.58,WI,5
1373,195000,-89.11,44.34,WI,5
1560,195100,-89.27,44.52,WI,5
2448,195200,-88.78,45.14,WI,3
1640,195300,-89.36,44.57,WI,5
1066,195400,-89.11,44.08,WI,5
1719,195500,-89.27,44.66,WI,5
4382,195600,-89.06,45.41,WI,3
4160,195700,-89.05,45.38,WI,3
1386,195800,-89.34,44.35,WI,5
1320,195900,-89.32,44.31,WI,5
1214,196100,-89.16,44.22,WI,5
1330,196200,-89.32,44.32,WI,5
1329,196300,-89.33,44.32,WI,5
5054,196500,-88.76,45.5,WI,3
2620,196600,-88.87,45.18,WI,3
1196,196700,-89.2,44.2,WI,5
1529,196800,-89.16,44.48,WI,5
1559,197000,-89.3,44.52,WI,5
1385,197100,-89.35,44.35,WI,5
1567,197200,-88.99,44.52,WI,5
1152,197300,-89.16,44.16,WI,5
1248,197400,-89.18,44.26,WI,5
1619,197500,-89.11,44.56,WI,5
2005,197600,-88.56,44.89,WI,3
4391,197700,-88.76,45.41,WI,3
3889,197800,-88.95,45.34,WI,3
1990,197900,-88.54,44.88,WI,3
1484,198000,-89.16,44.43,WI,5
3005,198100,-88.75,45.24,WI,3
2432,198200,-89.01,45.14,WI,3
1204,198300,-89.03,44.21,WI,5
1498,198400,-89.02,44.44,WI,5
1403,198500,-88.8,44.36,WI,5
1617,198600,-89.13,44.56,WI,5
1364,198700,-89.37,44.34,WI,5
1515,198800,-89.14,44.46,WI,5
1387,198900,-89.17,44.35,WI,5
1593,199000,-89.26,44.54,WI,5
4912,199100,-88.9,45.48,WI,3
3469,199200,-88.87,45.29,WI,3
